n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vmeas_e1,time,eps
1024,512,16,kneigh_,gr-truth,0,Baseline,512,1.0,1.0,0.0,0.170362,\
1024,512,16,kneigh_,baseline,2,Sample dimensions,50,0.09766,1.0,0.0,0.155544/,nan
1024,512,16,kneigh_,baseline,2,Sample dimensions,20,0.03906,1.0,0.0,0.157462/,nan
1024,512,16,kneigh_,baseline,2,Sample dimensions,10,0.01953,1.0,0.0,0.157955/,nan
1024,512,16,kneigh_,baseline,2,Sample dimensions,5,0.00977,1.0,0.0,0.158106/,nan
1024,512,16,kneigh_,baseline,2,Sample dimensions,1,0.00195,0.943,0.028289999999999996,0.157790/,nan
1024,512,16,kneigh_,baseline,1,Highest-variance,50,0.09766,1.0,0.0,0.154145/,nan
1024,512,16,kneigh_,baseline,1,Highest-variance,20,0.03906,1.0,0.0,0.154749/,nan
1024,512,16,kneigh_,baseline,1,Highest-variance,10,0.01953,1.0,0.0,0.156714/,nan
1024,512,16,kneigh_,baseline,1,Highest-variance,5,0.00977,1.0,0.0,0.157943/,nan
1024,512,16,kneigh_,baseline,1,Highest-variance,1,0.00195,0.943,0.0,0.158231/,nan
1024,512,16,kneigh_,baseline,5,PCA,50,0.09766,1.0,0.0,0.152639/,nan
1024,512,16,kneigh_,baseline,5,PCA,20,0.03906,1.0,0.0,0.152981/,nan
1024,512,16,kneigh_,baseline,5,PCA,10,0.01953,1.0,0.0,0.152481/,nan
1024,512,16,kneigh_,baseline,5,PCA,5,0.00977,1.0,0.0,0.153092/,nan
1024,512,16,kneigh_,baseline,5,PCA,1,0.00195,0.9840000000000001,0.009840000000000002,0.154762/,nan
1024,512,16,kneigh_,baseline,6,Factor Analysis,50,0.09766,1.0,0.0,0.307318/,nan
1024,512,16,kneigh_,baseline,6,Factor Analysis,20,0.03906,0.995,0.0,0.205612/,nan
1024,512,16,kneigh_,baseline,6,Factor Analysis,10,0.01953,1.0,0.0,0.170570/,nan
1024,512,16,kneigh_,baseline,6,Factor Analysis,5,0.00977,1.0,0.0,0.168346/,nan
1024,512,16,kneigh_,baseline,6,Factor Analysis,1,0.00195,0.998,0.0,0.166062/,nan
1024,512,16,kneigh_,baseline,3,Coin flip,50,0.09766,1.0,0.0,0.166260,/
1024,512,16,kneigh_,baseline,3,Coin flip,20,0.03906,1.0,0.0,0.164382,/
1024,512,16,kneigh_,baseline,3,Coin flip,10,0.01953,1.0,0.0,0.166594,/
1024,512,16,kneigh_,baseline,3,Coin flip,5,0.00977,1.0,0.0,0.164635,/
1024,512,16,kneigh_,baseline,3,Coin flip,1,0.00195,0.932,0.01864,0.169206,/
1024,512,16,kneigh_,baseline,4,Fast JL Transform,50,0.09766,0.932,0.00932,0.161737,0.1414213562373095
1024,512,16,kneigh_,baseline,4,Fast JL Transform,20,0.03906,0.929,0.037160000000000006,0.161072,0.22360679774997896
1024,512,16,kneigh_,baseline,4,Fast JL Transform,10,0.01953,0.9390000000000001,0.01878,0.163526,0.31622776601683794
1024,512,16,kneigh_,baseline,4,Fast JL Transform,5,0.00977,0.932,0.01864,0.166406,0.4472135954999579
1024,512,16,kneigh_,baseline,4,Fast JL Transform,1,0.00195,0.932,0.00932,0.163483,1.0
