n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vm_min,vm_max,t_red,tred_min,tred_max,t_test,ttest_min,ttest_max,t_tot,ttot_min,ttot_max,eps
7000,5000,2,kmeans_,gr-truth,3,Coin flip,1,0.0002,0.008,0.006,0.008,0.34353,0.08483,0.20955,0.10483,0.02244,0.02899,0.44836,0.10727,0.23854,/
7000,5000,2,kmeans_,gr-truth,4,Fast JL Transform,2500,0.5,0.128,0.011,0.007,5.1222,1.44221,3.88511,8.92248,0.64404,0.46446000000000004,14.04468,2.08624,4.34957,0.020
7000,5000,2,kmeans_,gr-truth,4,Fast JL Transform,1000,0.2,0.113,0.022,0.017,5.87975,1.556,1.75735,3.30199,0.41048,1.10394,9.18173,1.96648,2.8613,0.032
7000,5000,2,kmeans_,gr-truth,4,Fast JL Transform,500,0.1,0.121,0.061,0.048,5.28966,1.28405,2.50741,1.72489,0.37161,0.50497,7.01455,1.65566,3.0123900000000003,0.045
7000,5000,2,kmeans_,gr-truth,4,Fast JL Transform,250,0.05,0.125,0.037,0.031,4.06892,0.42269,0.76078,0.82456,0.0775,0.06907,4.89347,0.50019,0.8298399999999999,0.063
7000,5000,2,kmeans_,gr-truth,4,Fast JL Transform,50,0.01,0.086,0.059,0.064,4.00338,0.3028,0.20178,0.40049,0.061939999999999995,0.10163,4.40386,0.36474,0.3034,0.141
7000,5000,2,kmeans_,gr-truth,4,Fast JL Transform,25,0.005,0.027,0.026,0.023,3.84331,0.26489,0.29604,0.36003,0.10379000000000001,0.14035999999999998,4.20334,0.36868,0.43638999999999994,0.200
7000,5000,2,kmeans_,gr-truth,4,Fast JL Transform,5,0.001,0.022,0.019,0.064,3.76517,0.22308,0.38867,0.25811,0.059770000000000004,0.09425,4.02329,0.28285,0.48291999999999996,0.447
7000,5000,2,kmeans_,gr-truth,4,Fast JL Transform,2,0.0004,0.013,0.013,0.016,3.95516,0.57443,0.41132,0.21668,0.02528,0.043519999999999996,4.17184,0.5997,0.45485,0.707
7000,5000,2,kmeans_,gr-truth,4,Fast JL Transform,1,0.0002,0.006,0.006,0.017,4.49892,1.25238,1.9313,0.04131,0.01599,0.029,4.54023,1.26837,1.9603,1.000
7000,5000,2,kmeans_,gr-truth,5,PCA,2500,0.5,0.122,0.0,0.001,94.81743,4.82551,4.43267,11.86075,3.8267,3.35817,106.67817,8.65222,7.790839999999999,/
7000,5000,2,kmeans_,gr-truth,5,PCA,1000,0.2,0.122,0.001,0.001,24.64914,3.59387,4.28905,3.44584,0.77964,1.7795900000000002,28.09498,4.3735,6.06864,/
7000,5000,2,kmeans_,gr-truth,5,PCA,500,0.1,0.122,0.001,0.002,9.69485,0.57978,0.81621,1.39373,0.07313,0.07539,11.08858,0.6529,0.8916,/
7000,5000,2,kmeans_,gr-truth,5,PCA,250,0.05,0.122,0.001,0.001,9.16357,0.69988,1.53017,0.89266,0.04371,0.08814,10.05623,0.74359,1.6183100000000001,/
7000,5000,2,kmeans_,gr-truth,5,PCA,50,0.01,0.122,0.0,0.0,3.34253,0.29338,0.55709,0.42064,0.04885,0.02798,3.76316,0.34223,0.58508,/
7000,5000,2,kmeans_,gr-truth,5,PCA,25,0.005,0.123,0.001,0.002,3.06077,0.17848,0.2018,0.33367,0.06023,0.087,3.39444,0.23871,0.2888,/
7000,5000,2,kmeans_,gr-truth,5,PCA,5,0.001,0.119,0.001,0.001,3.0271,0.20233,0.3843,0.28976,0.04282,0.05061,3.31686,0.24515,0.43491,/
7000,5000,2,kmeans_,gr-truth,5,PCA,2,0.0004,0.108,0.0,0.0,3.01498,0.35772,0.27837,0.26879,0.04742,0.10184,3.28377,0.40513,0.38021,/
7000,5000,2,kmeans_,gr-truth,5,PCA,1,0.0002,0.106,0.0,0.0,3.09082,0.38916,0.45907,0.03401,0.00277,0.00446,3.12483,0.39193,0.46353999999999995,/
