n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vmeas_e1,time,eps
1024,1024,16,kmeans_,gr-truth,0,Baseline,1024,1.0,1.0,0.0,2.186437,\
1024,1024,16,kmeans_,baseline,2,Sample dimensions,50,0.04883,1.0,0.0,0.310272/,nan
1024,1024,16,kmeans_,baseline,2,Sample dimensions,20,0.01953,1.0,0.0,0.328211/,nan
1024,1024,16,kmeans_,baseline,2,Sample dimensions,10,0.00977,1.0,0.0,0.274053/,nan
1024,1024,16,kmeans_,baseline,2,Sample dimensions,5,0.00488,1.0,0.0,0.036180/,nan
1024,1024,16,kmeans_,baseline,2,Sample dimensions,1,0.00098,0.9670000000000001,0.02901,0.031637/,nan
1024,1024,16,kmeans_,baseline,1,Highest-variance,50,0.04883,1.0,0.0,0.301523/,nan
1024,1024,16,kmeans_,baseline,1,Highest-variance,20,0.01953,1.0,0.0,0.241634/,nan
1024,1024,16,kmeans_,baseline,1,Highest-variance,10,0.00977,1.0,0.0,0.230401/,nan
1024,1024,16,kmeans_,baseline,1,Highest-variance,5,0.00488,1.0,0.0,0.034289/,nan
1024,1024,16,kmeans_,baseline,1,Highest-variance,1,0.00098,0.978,0.0,0.031622/,nan
1024,1024,16,kmeans_,baseline,5,PCA,50,0.04883,1.0,0.0,0.283284/,nan
1024,1024,16,kmeans_,baseline,5,PCA,20,0.01953,1.0,0.0,0.293666/,nan
1024,1024,16,kmeans_,baseline,5,PCA,10,0.00977,1.0,0.0,0.265642/,nan
1024,1024,16,kmeans_,baseline,5,PCA,5,0.00488,1.0,0.0,0.115346/,nan
1024,1024,16,kmeans_,baseline,5,PCA,1,0.00098,0.988,0.01976,0.128406/,nan
1024,1024,16,kmeans_,baseline,6,Factor Analysis,50,0.04883,0.938,0.01876,0.320819/,nan
1024,1024,16,kmeans_,baseline,6,Factor Analysis,20,0.01953,0.998,0.0,0.292242/,nan
1024,1024,16,kmeans_,baseline,6,Factor Analysis,10,0.00977,1.0,0.0,0.268311/,nan
1024,1024,16,kmeans_,baseline,6,Factor Analysis,5,0.00488,1.0,0.0,0.114043/,nan
1024,1024,16,kmeans_,baseline,6,Factor Analysis,1,0.00098,1.0,0.0,0.137383,/
1024,1024,16,kmeans_,baseline,3,Coin flip,50,0.04883,1.0,0.0,0.306737,/
1024,1024,16,kmeans_,baseline,3,Coin flip,20,0.01953,1.0,0.0,0.294015,/
1024,1024,16,kmeans_,baseline,3,Coin flip,10,0.00977,1.0,0.0,0.262597,/
1024,1024,16,kmeans_,baseline,3,Coin flip,5,0.00488,1.0,0.0,0.102409,/
1024,1024,16,kmeans_,baseline,3,Coin flip,1,0.00098,0.9390000000000001,0.02817,0.094964,/
1024,1024,16,kmeans_,baseline,4,Fast JL Transform,50,0.04883,0.953,0.00953,0.253305,0.1414213562373095
1024,1024,16,kmeans_,baseline,4,Fast JL Transform,20,0.01953,0.973,0.01946,0.230489,0.22360679774997896
1024,1024,16,kmeans_,baseline,4,Fast JL Transform,10,0.00977,0.981,0.01962,0.206413,0.31622776601683794
1024,1024,16,kmeans_,baseline,4,Fast JL Transform,5,0.00488,0.9740000000000001,0.01948,0.126311,0.4472135954999579
1024,1024,16,kmeans_,baseline,4,Fast JL Transform,1,0.00098,0.97,0.0388,0.126052,1.0
